row_index,beta,finders_share,r,patch_scale,sigma,q,c,v,C_birth,mean_lambda,scrounge_rate,network_mean_degree,network_lcc_fraction,mean_fish_density,fleet_size,wealth_gini
0.0,2.0,0.5,0.1,0.1,0.5,0.3,0.05,3.0,2.0,3.965050470843555,0.371172431127032,2.26549574121726,0.3438953176834992,0.2095434099001812,115.07,0.2552471304395531
1.0,0.5,0.5,0.1,0.1,0.5,0.3,0.05,3.0,2.0,3.2543920760750744,0.4061342748831855,2.538759185509479,0.3418772973751635,0.24524127197954,111.865,0.2660826119509363
2.0,1.25,0.5,0.1,0.1,0.5,0.3,0.05,3.0,2.0,3.714747939817615,0.3805181476975334,2.301799056628948,0.3547287782039177,0.2195977589481049,109.84,0.2744003792505508
3.0,2.0,0.5,0.1,0.1,0.5,0.3,0.05,3.0,2.0,4.065951155468143,0.3728126272108585,2.5254176815825704,0.363278660041075,0.2145084230903783,141.11,0.2601818116584257
4.0,2.75,0.5,0.1,0.1,0.5,0.3,0.05,3.0,2.0,4.292040857123384,0.3673768192463579,3.140819278506469,0.5694934924751217,0.2050119567189632,186.535,0.2572428968121832
5.0,3.5,0.5,0.1,0.1,0.5,0.3,0.05,3.0,2.0,4.356681381674494,0.3586589716295289,3.354008656006421,0.6793026271007543,0.1865196927668658,198.845,0.2731484444010645
6.0,4.25,0.5,0.1,0.1,0.5,0.3,0.05,3.0,2.0,4.284926513351016,0.339767691207656,3.1293640682997323,0.5725482963170656,0.1857575127547315,212.795,0.234678545867576
7.0,5.0,0.5,0.1,0.1,0.5,0.3,0.05,3.0,2.0,4.3200285360778965,0.3293908567134123,3.2778209974148376,0.71081655986956,0.1730216664887807,216.185,0.2464300801179938
8.0,2.0,0.2,0.1,0.1,0.5,0.3,0.05,3.0,2.0,4.0039531254331004,0.4164728186482163,2.4742259497445054,0.3729481009854776,0.2185279519405605,124.505,0.2511572391763196
9.0,2.0,0.3,0.1,0.1,0.5,0.3,0.05,3.0,2.0,3.913312293112056,0.4104959793758527,2.670827530677386,0.4309698610697791,0.2171230951410961,133.49,0.2671210670563987
10.0,2.0,0.4,0.1,0.1,0.5,0.3,0.05,3.0,2.0,3.9870726832193526,0.3973382613674894,2.7560965186833477,0.4156649156115996,0.2177505391892869,141.725,0.2449492728031081
11.0,2.0,0.5,0.1,0.1,0.5,0.3,0.05,3.0,2.0,4.090910705478657,0.387209338998873,2.9230732987266266,0.5220691439786962,0.2141232871315448,157.77,0.2483194224551784
12.0,2.0,0.6000000000000001,0.1,0.1,0.5,0.3,0.05,3.0,2.0,3.986914157515711,0.3534099434920815,2.6181243313795024,0.3993076686506693,0.2144461062362953,150.725,0.2627071076476666
13.0,2.0,0.7000000000000002,0.1,0.1,0.5,0.3,0.05,3.0,2.0,4.095515220517968,0.3445337903285017,2.630022200889933,0.404285746673797,0.2067297408647123,145.435,0.2610181394632407
14.0,2.0,0.8,0.1,0.1,0.5,0.3,0.05,3.0,2.0,4.31690946103943,0.3210780060709232,2.6880876302256818,0.467570281209582,0.2075813038073267,170.89499999999998,0.2490187841385714
15.0,2.0,0.5,0.05,0.1,0.5,0.3,0.05,3.0,2.0,4.090955181402648,0.340923121573633,1.6598037827177397,0.2536266638050632,0.2045132754501126,82.56,0.2361657196830064
16.0,2.0,0.5,0.0916666666666666,0.1,0.5,0.3,0.05,3.0,2.0,3.961576706114613,0.3717164557354642,2.542960117849731,0.434627103448393,0.1995035218172007,102.43500000000002,0.2460595641271911
17.0,2.0,0.5,0.1333333333333333,0.1,0.5,0.3,0.05,3.0,2.0,3.9396172436517927,0.3850488176134359,3.3400927427379674,0.5384126168868121,0.2187525483898526,181.12,0.2606012895029246
18.0,2.0,0.5,0.175,0.1,0.5,0.3,0.05,3.0,2.0,4.218351759023263,0.3832140876202767,4.20946100837099,0.728369843377688,0.2126406969066337,194.755,0.2474104596417588
19.0,2.0,0.5,0.2166666666666666,0.1,0.5,0.3,0.05,3.0,2.0,3.983451566998319,0.3819524965311379,5.077209989404137,0.7696337715392751,0.2100665061042534,236.57,0.2398306519871075
20.0,2.0,0.5,0.2583333333333333,0.1,0.5,0.3,0.05,3.0,2.0,4.120976570740134,0.3839182067199268,6.224424255145366,0.8374873419967845,0.2162041830592458,294.905,0.2540154683185335
21.0,2.0,0.5,0.3,0.1,0.5,0.3,0.05,3.0,2.0,4.111944949523512,0.3802761857982336,7.196865554652264,0.8677573782070127,0.2136196372902764,346.785,0.2412265312846483
22.0,2.0,0.5,0.1,0.05,0.5,0.3,0.05,3.0,2.0,3.678591120387799,0.3400239139313734,1.6123522054417845,0.2942387482673045,0.1432964952898306,48.94500000000001,0.243437058940993
23.0,2.0,0.5,0.1,0.0916666666666666,0.5,0.3,0.05,3.0,2.0,3.9015348277400137,0.3700546004348868,2.47061738036861,0.3843122024750099,0.2051447454095986,125.325,0.2475312987968574
24.0,2.0,0.5,0.1,0.1333333333333333,0.5,0.3,0.05,3.0,2.0,4.046503925381599,0.3880641395341263,3.069917274501732,0.5585435124427914,0.2526793235896712,198.765,0.2484540596289183
25.0,2.0,0.5,0.1,0.175,0.5,0.3,0.05,3.0,2.0,4.173699903554553,0.4025790067693993,3.412107962000149,0.6618214082796243,0.2731227713645136,257.395,0.2739191386655689
26.0,2.0,0.5,0.1,0.2166666666666666,0.5,0.3,0.05,3.0,2.0,4.11280768012386,0.4095470336118368,3.7462917125148514,0.8090910070139181,0.2901216020622874,343.58500000000004,0.2764150061736381
27.0,2.0,0.5,0.1,0.2583333333333333,0.5,0.3,0.05,3.0,2.0,4.108294718958225,0.4095723036870533,3.797307799747669,0.8387240725538083,0.294979267278796,356.67499999999995,0.2689024818233578
28.0,2.0,0.5,0.1,0.3,0.5,0.3,0.05,3.0,2.0,4.215438314636357,0.4099184653116623,4.071936444431143,0.8962115531522503,0.2983174337627893,394.4899999999999,0.2731419767352658
29.0,2.0,0.5,0.1,0.1,0.1,0.3,0.05,3.0,2.0,3.7078494999309934,0.3758484969881058,2.384338027186049,0.3224122752409838,0.2128219713439351,124.39,0.2514563954283959
30.0,2.0,0.5,0.1,0.1,0.25,0.3,0.05,3.0,2.0,3.779732803972872,0.3790999895174266,2.523785187962401,0.3982283216726135,0.2104605350105508,130.69,0.2730595169941049
31.0,2.0,0.5,0.1,0.1,0.4,0.3,0.05,3.0,2.0,3.658775080477313,0.3667359461940502,2.252464854236085,0.3536123132244375,0.2039139908773627,99.205,0.2507127565368063
32.0,2.0,0.5,0.1,0.1,0.5499999999999999,0.3,0.05,3.0,2.0,3.96540377193096,0.37624862547078,2.582810360237552,0.4386416444205272,0.2097837247995804,136.22,0.2628914713190864
33.0,2.0,0.5,0.1,0.1,0.7,0.3,0.05,3.0,2.0,3.9591808820709713,0.3702188949339058,2.5445157073582685,0.4282155487432705,0.2053534476956239,124.64,0.2760473505486444
34.0,2.0,0.5,0.1,0.1,0.85,0.3,0.05,3.0,2.0,4.112774660447961,0.3748449606651756,2.7284922192783387,0.4636714040574596,0.2032953883012168,132.20499999999998,0.2458304814783958
35.0,2.0,0.5,0.1,0.1,1.0,0.3,0.05,3.0,2.0,4.041874461433379,0.3683990599592798,2.6001110527288622,0.420271903471127,0.20540449395428,116.075,0.2551401075859115
36.0,2.0,0.5,0.1,0.1,0.5,0.05,0.05,3.0,2.0,0.0,0.0,0.0,0.0,0.2979478892179359,0.0,0.0
37.0,2.0,0.5,0.1,0.1,0.5,0.175,0.05,3.0,2.0,3.6394706098902696,0.3398947174891437,1.8364946204774892,0.3613358797195952,0.2594466361866536,52.28500000000001,0.2449289984006622
38.0,2.0,0.5,0.1,0.1,0.5,0.3,0.05,3.0,2.0,4.059018123681442,0.3650820817227235,2.5336514709378024,0.444836606424347,0.2057891620322701,127.255,0.2441788185141942
39.0,2.0,0.5,0.1,0.1,0.5,0.425,0.05,3.0,2.0,4.107393823409315,0.3703682387209372,2.17215692558067,0.2586642019762399,0.169276407657596,144.825,0.2692952916878873
40.0,2.0,0.5,0.1,0.1,0.5,0.55,0.05,3.0,2.0,4.050957092308119,0.3357240518943427,1.4793233582923766,0.1608205947427297,0.1372964616611335,110.63,0.2687541976197208
41.0,2.0,0.5,0.1,0.1,0.5,0.675,0.05,3.0,2.0,4.181978907066643,0.3181879465502696,1.1936186116953116,0.1324234950841991,0.1166280009113097,88.74500000000002,0.2696212020300002
42.0,2.0,0.5,0.1,0.1,0.5,0.8,0.05,3.0,2.0,3.8807874162907856,0.279977945026835,0.9835625782289796,0.1178837538277972,0.0877342507410317,72.205,0.3074836890668521
43.0,2.0,0.5,0.1,0.1,0.5,0.3,0.0,3.0,2.0,2.9872503180162644,0.4752519813900526,5.70174168860915,0.9145655646608212,0.0721345132610071,462.225,0.3283276661938699
44.0,2.0,0.5,0.1,0.1,0.5,0.3,0.0499999999999999,3.0,2.0,4.043025923508435,0.3793023410995385,2.671943270529387,0.4083290472343773,0.211223458086008,136.645,0.2514634001267753
45.0,2.0,0.5,0.1,0.1,0.5,0.3,0.0999999999999999,3.0,2.0,4.343922446125521,0.3279805877819686,1.905648452698007,0.3705847942761981,0.2515564037037477,66.975,0.2523134696757937
46.0,2.0,0.5,0.1,0.1,0.5,0.3,0.15,3.0,2.0,4.198699400477165,0.2801000599981478,1.3483047265925363,0.4051648057519903,0.2702995759503889,25.02,0.2478613967750603
47.0,2.0,0.5,0.1,0.1,0.5,0.3,0.1999999999999999,3.0,2.0,4.628869485748212,0.2707502247262887,1.2333198033285238,0.4468846708349905,0.2648125480694558,19.05,0.2665529266341732
48.0,2.0,0.5,0.1,0.1,0.5,0.3,0.2499999999999999,3.0,2.0,2.562611754871284,0.0874813519813519,0.3173371628371628,0.2816336163836164,0.2879169693664599,4.46,0.1599078478467304
49.0,2.0,0.5,0.1,0.1,0.5,0.3,0.3,3.0,2.0,2.3073504468748034,0.1016352952602952,0.3582995615495615,0.1946390692640692,0.3054169805075052,4.945,0.1024131958165134
50.0,2.0,0.5,0.1,0.1,0.5,0.3,0.05,1.0,2.0,3.802171643983793,0.1912957234961558,0.5195816308787026,0.0400343632843402,0.1804770445096061,174.325,0.2318983342066494
51.0,2.0,0.5,0.1,0.1,0.5,0.3,0.05,2.0,2.0,3.796135531722619,0.3370151485366087,1.5326680231197445,0.1574172840328614,0.1998109461608712,175.745,0.2602911224893529
52.0,2.0,0.5,0.1,0.1,0.5,0.3,0.05,2.0,2.0,3.8954767848909406,0.3101006348364941,1.3225309713377404,0.1484851191907797,0.1937274966162273,144.82500000000002,0.256100516666015
53.0,2.0,0.5,0.1,0.1,0.5,0.3,0.05,3.0,2.0,4.143651329513797,0.3685888344881632,2.657355888972321,0.4662032547105623,0.1975725815798573,112.675,0.2547408588044231
54.0,2.0,0.5,0.1,0.1,0.5,0.3,0.05,4.0,2.0,4.203244457915455,0.3883326741951922,3.876295423301392,0.5809225321486439,0.2285911293481314,117.01999999999998,0.2641479534694229
55.0,2.0,0.5,0.1,0.1,0.5,0.3,0.05,4.0,2.0,4.252887784818654,0.3853189628971205,4.1220665602325175,0.6322305248071936,0.2215540363727032,120.88,0.2458718357208044
56.0,2.0,0.5,0.1,0.1,0.5,0.3,0.05,5.0,2.0,4.209779459516208,0.3920319802219539,5.178408961848148,0.6760373357568183,0.2301824874485811,101.22,0.2696594039261217
57.0,2.0,0.5,0.1,0.1,0.5,0.3,0.05,3.0,1.0,4.418233332052129,0.3720884240233761,2.7717435839999203,0.4386257219214627,0.2013759424999984,131.29000000000002,0.2546154542370881
58.0,2.0,0.5,0.1,0.1,0.5,0.3,0.05,3.0,1.6666666666666663,4.233870979957226,0.3806528609914476,2.6980771078863865,0.4667995441776715,0.2033351025972931,133.705,0.2486405237905413
59.0,2.0,0.5,0.1,0.1,0.5,0.3,0.05,3.0,2.333333333333333,3.882478629952792,0.3729914660591476,2.5233840141154484,0.3766297977442728,0.226736750520637,144.15,0.2426349166311119
60.0,2.0,0.5,0.1,0.1,0.5,0.3,0.05,3.0,3.0,3.792261420966612,0.3686759739759702,2.316887868221457,0.3494797467586713,0.2155645635950637,125.17,0.243902696181181
61.0,2.0,0.5,0.1,0.1,0.5,0.3,0.05,3.0,3.6666666666666665,3.622477538914272,0.3680434297457885,2.266060832377462,0.3721282284673012,0.2167197305358787,121.15,0.2533139276876932
62.0,2.0,0.5,0.1,0.1,0.5,0.3,0.05,3.0,4.333333333333333,3.5004679536790664,0.3697286885404428,2.294134162647322,0.3469692764192857,0.2285588926287536,133.145,0.2226403977849013
63.0,2.0,0.5,0.1,0.1,0.5,0.3,0.05,3.0,5.0,3.612228303143528,0.3732804170956745,2.497599274215759,0.3376931180239509,0.2187017228790465,135.89499999999998,0.1983248990443734
